variant,budget,descriptive_rank,admitted,applicable_actions,complete_conditions,applicable_assessments,topic_numerator,topic_denominator,raw_numerator,raw_denominator,mean_estimated_tokens
compact,1800,1,True,1311,1311,1311,1469,1794,0,1152,1701.5132575757575
education_full,1800,2,True,1311,1311,1311,1311,1794,0,1152,1696.2430555555557
education_full_no_paths,1800,2,True,1311,1311,1311,1311,1794,0,1152,1696.4122474747476
legacy,1800,3,True,846,846,1311,1405,1794,0,1152,1697.7083333333333
source,1800,4,True,268,268,1311,1161,1794,0,1152,1669
bm25,1800,5,True,89,89,1311,1403,1794,0,1152,1633.6849747474748
hybrid,1800,6,True,0,0,1311,1303,1794,0,1152,1707.8093434343434
source_hybrid,1800,7,True,0,0,1311,1295,1794,0,1152,1674.2367424242425
education_full_no_episodes,1800,8,True,0,0,1311,1294,1794,0,1152,1728.613005050505
compact,3200,2,True,1311,1311,1311,1776,1794,0,1152,2791.356691919192
education_full,3200,1,True,1311,1311,1311,1794,1794,0,1152,2948.308080808081
education_full_no_paths,3200,1,True,1311,1311,1311,1794,1794,0,1152,2939.7613636363635
legacy,3200,4,True,1311,1311,1311,1725,1794,0,1152,2821.722222222222
source,3200,4,True,1311,1311,1311,1725,1794,0,1152,2913.2910353535353
bm25,3200,3,True,1311,1311,1311,1750,1794,0,1152,2855.802398989899
hybrid,3200,4,True,1311,1311,1311,1725,1794,0,1152,2909.070707070707
source_hybrid,3200,4,True,1311,1311,1311,1725,1794,0,1152,2930.9842171717173
education_full_no_episodes,3200,5,True,0,0,1311,1782,1794,0,1152,2893.119318181818
